experiment,version,experimenter,system,subjID,date_started,date_finished,gender,age,handedness
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 6,001_SO,2024-06-24,2024-07-02,m,21,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,002_HS,2024-06-25,2024-07-03,m,30,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,003_KS,2024-07-03,2024-07-09,m,26,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,004_TM,2024-07-08,2024-07-12,m,45,r
報告順序と知覚メタ認知: 1.0,experiment1,SN,booth 9,005_MT,2024-07-04,2024-07-11,f,19,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 6,006_IE,2024-07-11,2024-07-18,m,23,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,007_CC,2024-07-22,2024-08-01,f,18,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 9,008_RM,2024-07-26,0000-01-00,m,22,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 8,008_TO,2024-08-07,2024-08-15,m,23,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,009_TY,2024-07-29,2024-08-08,m,38,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 8,010_SS,2024-08-15,2024-08-19,m,24,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 8,011_MT,2024-09-27,2024-10-03,f,27,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 6,012_SI,2024-10-03,2024-10-10,m,20,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,101_YO,2024-06-24,2024-07-02,f,19,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,102_KN,2024-06-26,2024-07-03,m,25,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 8,103_AK,2024-07-04,2024-07-09,f,24,r
報告順序と知覚メタ認知: 1.0,experiment1,SN,booth 5,104_TO,2024-07-08,2024-07-10,m,22,r
報告順序と知覚メタ認知: 1.0,experiment1,SN,booth 8,105_KK,2024-07-04,0000-01-00,f,21,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 8,105_YJ,2024-07-12,2024-07-18,m,33,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 9,106_YO,2024-07-17,2024-07-23,f,22,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 5,107_MY,2024-07-23,2024-08-02,f,40,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,108_KI,2024-07-26,2024-07-31,m,27,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 5,109_MH,2024-07-30,2024-08-02,f,21,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 8,110_KS,2024-08-20,2024-08-22,f,22,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 7,111_HT,2024-09-30,2024-10-03,m,20,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 8,111_RY,2024-09-17,0000-01-00,m,22,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 6,112_YN,2024-10-03,2024-10-10,m,21,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,201_KI,2024-06-24,2024-07-02,f,23,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 9,202_KO,2024-06-27,2024-07-10,m,23,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 6,203_YT,2024-07-05,2024-07-12,m,22,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,204_TI,2024-07-04,2024-07-11,m,38,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 8,205_SK,2024-07-08,2024-07-17,m,25,l
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,206_TW,2024-07-17,2024-07-23,m,23,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,207_MO,2024-07-24,2024-07-26,f,32,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 6,208_YN,2024-07-29,2024-08-05,f,20,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 8,209_JK,2024-08-01,2024-08-08,m,69,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 8,210_RM,2024-08-26,2024-08-28,m,20,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 9,211_AK,2024-09-30,2024-10-10,f,30,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 8,212_TF,2024-10-04,2024-10-09,m,30,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,301_KM,2024-06-24,2024-06-28,f,26,r
報告順序と知覚メタ認知: 1.0,experiment1,NS,booth 6,302_TN,2024-06-27,2024-07-02,f,20,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 9,303_YN,2024-07-08,2024-07-16,m,20,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,304_KS,2024-07-04,2024-07-12,m,42,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 6,305_SI,2024-07-11,2024-07-18,m,24,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 8,306_TN,2024-07-18,2024-07-25,m,19,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 5,307_TN,2024-07-25,2024-08-01,f,26,r
報告順序と知覚メタ認知: 1.0,experiment1,SNYK,booth 6,308_TY,2024-07-29,2024-08-02,m,21,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 8,309_KI,2024-08-05,2024-08-13,m,27,l
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 8,310_KN,2024-08-26,2024-08-30,f,27,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 8,311_KT,2024-09-12,2024-09-18,m,21,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 6,312_SO,2024-10-09,2024-10-11,m,29,l
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 8,401_KA,2024-06-25,2024-07-01,m,19,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 9,402_AS,2024-06-28,2024-07-03,m,22,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 8,403_WN,2024-07-04,2024-07-11,f,33,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 6,404_DS,2024-07-08,2024-07-16,m,21,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 6,405_SN,2024-07-09,2024-07-12,m,22,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 6,406_MI,2024-07-19,2024-07-25,m,20,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 6,407_RO,2024-07-29,2024-08-01,m,21,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 5,408_KH,2024-07-31,2024-08-05,m,24,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 8,409_FK,2024-08-05,2024-08-09,f,20,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 8,410_YH,2024-09-02,2024-09-04,m,22,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 9,411_TS,2024-10-01,2024-10-04,f,51,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 8,412_YT,2024-10-10,2024-10-18,f,37,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 9,501_MY,2024-06-25,2024-07-01,m,33,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 6,502_HO,2024-06-26,2024-07-03,m,31,l
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 6,503_HK,2024-07-05,2024-07-11,m,21,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 9,504_YK,2024-07-08,2024-07-17,f,34,r
報告順序と知覚メタ認知: 1.0,experiment1,SN,booth 6,505_KU,2024-07-10,2024-07-18,m,22,r
報告順序と知覚メタ認知: 1.0,experiment1,SN,booth 8,506_HS,2024-07-19,2024-07-25,f,26,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 6,507_MM,2024-07-26,2024-08-01,f,18,r
報告順序と知覚メタ認知: 1.0,experiment1,TZ,booth 8,508_AY,2024-07-29,2024-08-01,m,19,r
報告順序と知覚メタ認知: 1.0,experiment1,TN,booth 9,509_TS,2024-08-05,2024-08-07,m,20,r
報告順序と知覚メタ認知: 1.0,experiment1,TK,booth 8,510_HI,2024-09-06,2024-09-13,m,20,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 9,511_AN,2024-10-03,2024-10-09,f,21,r
報告順序と知覚メタ認知: 1.0,experiment1,YK,booth 7,512_SI,2024-10-10,2024-10-18,f,22,r
